word,Seed,form,definition,definition_2,etymology,example,origin
prosaic,Rare,adjective,Having the style or diction of prose; lacking poetic beauty; commonplace; unromantic.,,"From Latin prosaicus, from prosa ""prose"".",,Latin
apotheosis,Rare,noun,The elevation of someone to divine status; the highest point in the development of something; culmination or climax.,,"From Greek apotheōsis ""deification"", from apotheoun ""deify"", from apo- ""completely"" + theos ""god"".",,Greek
ambivalent,Rare,adjective,Having mixed feelings or contradictory ideas about something or someone.,,"From Latin ambi- ""both"" + valentia ""strength"", from valere ""be strong"".",,Latin
beguiling,Rare,adjective,"Charming or enchanting, often in a deceptive way.",,"From Middle Dutch begīlen ""to deceive"".",,Dutch
treacle,Rare,noun,"A thick, sticky dark syrup made from partly refined sugar; cloying sentimentality or flattery.",,"From Middle English triacle ""antidote"", via Old French from Latin theriaca, from Greek thēriakē ""antidote against a poisonous bite"".",,Greek
sartorial,Rare,adjective,"Relating to tailoring, clothes, or style of dress.",,"From Latin sartor ""tailor"", from sarcire ""to patch, mend"".",,Latin
aegis,Rare,noun,"The protection, backing, or support of a particular person or organization.",,"From Greek aigis, the shield of Zeus or Athena.",,Greek
indomitable,Rare,adjective,Impossible to subdue or defeat.,,"From Latin indomitabilis, from in- ""not"" + domitare ""to tame"".",,Latin
equivocation,Rare,noun,The use of ambiguous language to conceal the truth or to avoid committing oneself; prevarication.,,"From Late Latin aequivocationem, from aequivocus ""ambiguous"", from aequus ""equal"" + vocare ""to call"".",,Latin
forbearance,Rare,noun,Patient self-control; restraint and tolerance.,,"From Old English forberan ""to bear, endure"", from for- + beran ""to bear"".",,Old English
feckless,Rare,adjective,Lacking initiative or strength of character; irresponsible.,,"From Scottish feck ""effect, value"", from Middle English fek, shortened from effect + -less.",,Scottish
esoteric,Rare,adjective,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,,"From Greek esōterikos ""belonging to an inner circle"", from esōterō ""more within"", comparative of esō ""within"".",,Greek
sidle,Rare,verb,"Walk in a furtive, unobtrusive, or timid manner, especially sideways or obliquely.",,From side + -le (frequentative suffix).,,Other
depredation,Rare,noun,An act of attacking or plundering.,,"From Latin depraedatio(n-), from the verb depraedari, from de- ""completely"" + praedari ""plunder"".",,Latin
astringent,Rare,adjective,"Causing the contraction of body tissues, typically of the skin; severe or stern in manner.",,"From Latin astringent- ""binding"", from the verb astringere, from ad- ""to"" + stringere ""to bind"".",,Latin
stolid,Rare,adjective,"Calm, dependable, and showing little emotion or animation.",,"From Latin stolidus ""dull, slow"".",,Latin
goad,Rare,verb,Provoke or annoy (someone) so as to stimulate some action or reaction.,,"From Old English gad ""a spike"", of Germanic origin.",,Old English
diffident,Rare,adjective,Modest or shy because of a lack of self-confidence.,,"From Latin diffident- ""lacking confidence"", from the verb diffidere, from dis- ""away"" + fidere ""to trust"".",,Latin
evanescent,Rare,adjective,"Soon passing out of sight, memory, or existence; quickly fading or disappearing.",,"From Latin evanescent- ""disappearing"", from the verb evanescere, from e- ""out of"" + vanescere ""vanish"".",,Latin
ostentatious,Rare,adjective,Characterized by vulgar or pretentious display; designed to impress or attract notice.,,"From French ostentatieux, from Latin ostentatio(n-) ""display"", from the verb ostentare, frequentative of ostendere ""to show"".",,Latin
ribald,Rare,adjective,Referring to sexual matters in an amusingly rude or irreverent way.,,"From Old French ribauld ""rogue, rascal"", from riber ""to be wanton"", of Germanic origin.",,French
arable,Rare,adjective,(Of land) used or suitable for growing crops.,,"From Latin arabilis, from arare ""to plow"".",,Latin
eponymous,Rare,adjective,"Giving one's name to a person, place, or thing.",,"From Greek epōnumos ""given as a name, giving one's name to someone or something"", from epi ""upon"" + onoma ""name"".",,Greek
bilk,Rare,verb,Cheat or defraud (someone).,,"Perhaps from Old English *bilican ""to deceive"", or from the card game of cribbage, where it meant ""to spoil someone's score"".",,Old English
pastiche,Rare,noun,"An artistic work in a style that imitates that of another work, artist, or period.",,"From French, from Italian pasticcio, from pasta ""paste"".",,French
inscrutable,Rare,adjective,Impossible to understand or interpret.,,"From Latin inscrutabilis, from in- ""not"" + scrutari ""to examine"".",,Latin
verisimilitude,Rare,noun,The appearance of being true or real.,,"From Latin verisimilitudo, from verisimilis ""probable"", from veri (genitive of verus ""true"") + similis ""like"".",,Latin
auspicious,Rare,adjective,Conducive to success; favorable.,,"From Latin auspicium ""divination by observing birds"", from auspex ""bird seer"".",,Latin
stygian,Rare,adjective,"Relating to the River Styx; extremely dark, gloomy, or forbidding.",,"From Latin Stygius, from Greek Stugios, from Stux, Stug- ""Styx"" (a river of the underworld).",,Greek
enmity,Rare,noun,The state or feeling of being actively opposed or hostile to someone or something.,,"From Old French enemite, from Latin inimicitas, from inimicus ""enemy"".",,Latin
antipathy,Rare,noun,A deep-seated feeling of dislike; aversion.,,"From Greek antipatheia, from anti- ""against"" + pathos ""feeling"".",,Greek
propitious,Rare,adjective,Giving or indicating a good chance of success; favorable.,,"From Latin propitius ""favorable"".",,Latin
beatific,Rare,adjective,Showing or producing exalted joy or blessedness.,,"From Latin beatificus, from beatus ""blessed"" + -ficus ""-making"".",,Latin
idiosyncrasy,Rare,noun,A distinctive or peculiar feature or characteristic of a place or thing; a peculiarity of constitution or temperament.,,"From Greek idiosunkrasia, from idios ""own, private"" + sunkrasis ""mixture, temperament"".",,Greek
portent,Rare,noun,"A sign or warning that something, especially something momentous or calamitous, is likely to happen.",,"From Latin portentum ""omen, token"", from portendere ""to foretell"".",,Latin
inure,Rare,verb,"Accustom (someone) to something, especially something unpleasant.",,"From Middle English inure ""to come into use"", from in- + ure ""use, practice"".",,Other
indigent,Rare,adjective,Poor; needy.,,"From Latin indigent- ""lacking"", from the verb indigere, from indu- ""within"" + egere ""to need"".",,Latin
usurp,Rare,verb,Take (a position of power or importance) illegally or by force.,,"From Latin usurpare ""to take possession of without legal claim"".",,Latin
sentient,Rare,adjective,Able to perceive or feel things.,,"From Latin sentient- ""feeling"", from the verb sentire.",,Latin
affective,Rare,adjective,"Relating to moods, feelings, and attitudes.",,"From Latin affect- ""influenced, affected"", from the verb afficere, from ad- ""to"" + facere ""to make"".",,Latin
replete,Rare,adjective,Filled or well-supplied with something.,,"From Latin repletus ""filled up"", past participle of replere, from re- ""again"" + plere ""to fill"".",,Latin
facile,Rare,adjective,(Especially of a theory or argument) appearing neat and comprehensive only by ignoring the true complexities of an issue; superficial.,,"From Latin facilis ""easy"", from facere ""to make"".",,Latin
rarefied,Rare,adjective,"(Of air, especially that at high altitudes) of lower pressure than usual; thin; (of a subject or environment) only for or understood by a small number of people with specialized knowledge.",,"From Latin rarus ""thin, sparse"" + facere ""to make"".",,Latin
austere,Rare,adjective,"Severe or strict in manner, attitude, or appearance; having no comforts or luxuries; harsh or ascetic.",,"From Latin austerus, from Greek austēros ""harsh, severe"".",,Greek
aplomb,Rare,noun,"Self-confidence or assurance, especially when in a demanding situation.",,"From French à plomb ""according to a plumb line"", from à ""to"" + plomb ""lead weight"".",,French
pariah,Rare,noun,An outcast; a person who is rejected from society or home.,,"From Tamil paraiyar, plural of paraiyan ""drummer"" (as the name of a caste of low status).",,Tamil
somatic,Rare,adjective,"Relating to the body, especially as distinct from the mind.",,"From Greek sōmatikos, from sōma ""body"".",,Greek
deign,Rare,verb,Do something that one considers to be beneath one's dignity.,,"From Old French deignier, from Latin dignari ""to consider worthy"", from dignus ""worthy"".",,Latin
pantheon,Rare,noun,"All the gods of a people or religion collectively; a temple dedicated to all the gods; a group of particularly respected, famous, or important people.",,"From Greek pantheion ""temple of all the gods"", from pan ""all"" + theion ""of the gods"".",,Greek
remonstrate,Rare,verb,Make a forcefully reproachful protest.,,"From medieval Latin remonstratus, past participle of remonstrare, from re- (expressing opposition) + monstrare ""to show"".",,Latin
alacrity,Rare,noun,Brisk and cheerful readiness.,,"From Latin alacritas, from alacer ""brisk, lively"".",,Latin
amorphous,Rare,adjective,Without a clearly defined shape or form.,,"From Greek amorphos ""shapeless"", from a- ""without"" + morphē ""form"".",,Greek
bereft,Rare,adjective,"Deprived of or lacking something, especially a non-material asset.",,"Past participle of bereave, from Old English bereafian, from be- + reafian ""to rob, plunder"".",,Old English
cajole,Rare,verb,Persuade (someone) to do something by sustained coaxing or flattery.,,"From French cajoler, perhaps from Picard ""to chatter like a jay"", from gajole ""cage"".",,French
cavort,Rare,verb,Jump or dance around excitedly.,,"Perhaps from curvet, from Italian corvetta ""a leap"", from Latin curvus ""curved"".",,Other
commensurate,Rare,adjective,Corresponding in size or degree; in proportion.,,"From Latin commensuratus, from com- ""together"" + mensuratus ""measured"".",,Latin
compunction,Rare,noun,A feeling of guilt or moral scruple that prevents or follows the doing of something bad.,,"From Latin compunctio(n-), from the verb compungere, from com- ""together"" + pungere ""to prick"".",,Latin
eclectic,Rare,adjective,"Deriving ideas, style, or taste from a broad and diverse range of sources.",,"From Greek eklektikos, from eklektos ""selected"", from eklegein ""to select"", from ek ""out"" + legein ""to choose"".",,Greek
duress,Rare,noun,"Threats, violence, constraints, or other action brought to bear on someone to do something against their will or better judgment.",,"From Old French duresse, from Latin duritia ""hardness"", from durus ""hard"".",,Latin
equivocal,Rare,adjective,Open to more than one interpretation; ambiguous.,,"From late Latin aequivocus, from aequi- ""equally"" + vocare ""to call"".",,Latin
extol,Rare,verb,Praise enthusiastically.,,"From Latin extollere ""to raise up, elevate"", from ex- ""up"" + tollere ""to raise"".",,Latin
impetuous,Rare,adjective,Acting or done quickly and without thought or care.,,"From late Latin impetuosus, from impetus ""attack"".",,Latin
inexorable,Rare,adjective,Impossible to stop or prevent.,,"From Latin inexorabilis, from in- ""not"" + exorabilis ""able to be entreated"", from exorare ""to prevail upon"".",,Latin
insidious,Rare,adjective,"Proceeding in a gradual, subtle way, but with harmful effects.",,"From Latin insidiosus, from insidiae ""ambush"", from insidere ""to lie in wait for"", from in- ""in"" + sedere ""to sit"".",,Latin
ostracize,Rare,verb,Exclude (someone) from a society or group.,,"From Greek ostrakizein, from ostrakon ""tile, potsherd"" (used as a voting tablet).",,Greek
presage,Rare,verb,"Be a sign or warning of (an imminent event, typically an unwelcome one).",,"From Latin praesagium, from praesagire ""to forebode"", from prae ""before"" + sagire ""perceive keenly"".",,Latin
relegate,Rare,verb,Assign an inferior rank or position to.,,"From Latin relegatus, past participle of relegare ""to send away, banish"", from re- ""back"" + legare ""to send"".",,Latin
vestigial,Rare,adjective,Forming a very small remnant of something that was once much larger or more noticeable.,,"From Latin vestigium ""footprint, trace"".",,Latin
vitriol,Rare,noun,Bitter criticism or malice.,,"From Latin vitriolum ""sulfuric acid"", from vitrum ""glass"".",,Latin
serene,Uncommon,adjective,"Calm, peaceful, and untroubled.",,"From Latin serenus 'clear, unclouded.'",The lake was serene in the early morning.,Latin
gleam,Uncommon,verb,"Shine brightly, especially with reflected light.",,"Old English glǣm 'brightness, splendor.'",A gleam of sunlight broke through the clouds.,Old English
mirth,Uncommon,noun,"Amusement, especially as expressed in laughter.",,"Old English myrgth 'joy, pleasure.'",The room was filled with the mirth of children.,Old English
ponder,Uncommon,verb,Think about something carefully.,,"From Latin ponderare 'weigh, consider.'",He sat to ponder the meaning of life.,Latin
brisk,Uncommon,adjective,"Active, fast, and energetic.",,"Origin unknown, perhaps imitative.",She took a brisk walk in the park.,Other
dwell,Uncommon,verb,Live in or at a specified place.,,"Old English dwellan 'lead astray, hinder.'",They dwell in a small cottage by the sea.,Old English
humble,Uncommon,adjective,Having or showing a modest or low estimate of one's importance.,,"From Latin humilis 'low, lowly.'",She remained humble despite her success.,Latin
nimble,Uncommon,adjective,Quick and light in movement or action.,,Old English nǣmel 'quick to seize.',The cat was nimble as it leapt onto the wall.,Old English
glean,Uncommon,verb,Collect gradually and bit by bit.,,"From Old French glener, from Latin glennare 'make a collection.'",She gleaned information from various sources.,French
fret,Uncommon,verb,Be constantly or visibly worried or anxious.,,Old English fretan 'devour.',Don't fret; everything will be fine.,Old English
sturdy,Uncommon,adjective,Strongly and solidly built.,,From Old French estourdi 'dazed.',The sturdy table held all the dishes.,French
keen,Uncommon,adjective,Having or showing eagerness or enthusiasm.,,"Old English cene 'bold, brave.'",She has a keen interest in science.,Old English
bask,Uncommon,verb,"Lie exposed to warmth and light, typically from the sun.",,Old Norse bask 'to bathe.',The lizard basked in the sun.,Other
quaint,Uncommon,adjective,Attractively unusual or old-fashioned.,,"From Old French cointe 'clever, cunning.'",They stayed in a quaint little village.,French
lurk,Uncommon,verb,Remain hidden so as to wait in ambush.,,Middle English lorken 'to lie hidden.',The cat would lurk in the shadows.,Other
amble,Uncommon,verb,"Walk or move at a slow, relaxed pace.",,Old French ambler 'to walk as a horse does.',They amble along the riverbank.,French
dusk,Uncommon,noun,The darker stage of twilight.,,Old English dox 'dark.',The streetlights flickered on at dusk.,Old English
spry,Uncommon,adjective,"Active; lively, especially for one's age.",,Origin unknown.,The spry old man danced with the children.,Other
fable,Uncommon,noun,"A short story, typically with animals as characters, conveying a moral.",,From Latin fabula 'story.',The tortoise and the hare is a famous fable.,Latin
harbor,Uncommon,noun,A place on the coast where vessels may find shelter.,,"Old English herebeorg 'shelter, lodging.'",The ship sailed into the harbor.,Old English
idle,Uncommon,adjective,Not active or in use.,,"Old English īdel 'empty, useless.'",The factory stood idle for months.,Old English
jolly,Uncommon,adjective,Happy and cheerful.,,From Old French jolif 'festive.',He was in a jolly mood.,French
kindle,Uncommon,verb,Light or set on fire.,,Old Norse kynda 'to kindle.',She kindled a fire in the hearth.,Other
lively,Uncommon,adjective,Full of life and energy.,,Old English līflic 'living.',The market was lively with activity.,Old English
meadow,Uncommon,noun,"A piece of grassland, especially one used for hay.",,Old English mǣdwe 'meadow.',Cows grazed in the meadow.,Old English
notion,Uncommon,noun,A conception of or belief about something.,,From Latin notio 'idea.',She had a notion to try skydiving.,Latin
plush,Uncommon,adjective,Richly luxurious and expensive.,,From French peluche 'plush.',They stayed in a plush hotel.,French
stroll,Uncommon,verb,Walk in a leisurely way.,,"Origin unknown, perhaps from German strollen 'to loaf.'",They strolled through the park.,Other
utter,Uncommon,verb,Make (a sound) with one's voice.,,Old English utera 'outer.',He uttered a sigh of relief.,Old English
whim,Uncommon,noun,A sudden desire or change of mind.,,"Origin unknown, perhaps from whim-wham 'fanciful object.'",She left on a whim.,Other
yarn,Uncommon,noun,"A long, often elaborate narrative of real or fictitious adventures.",,Old English gearn 'spun fiber.',He spun a yarn about his travels.,Old English
zeal,Uncommon,noun,Great energy or enthusiasm.,,From Greek zēlos 'ardor.',She worked with great zeal.,Greek
glee,Uncommon,noun,Great delight.,,"Old English gléo 'entertainment, music.'",She clapped her hands in glee.,Old English
dandy,Uncommon,adjective,Excellent; first-rate.,,"Origin unknown, perhaps from French.",He looked dandy in his new suit.,French
eager,Uncommon,adjective,Strongly wanting to do or have something.,,Old English eagor 'sharp.',The children were eager for the trip.,Old English
fancy,Uncommon,verb,Feel a desire or liking for.,,From Old French fantasie 'imagination.',Do you fancy a cup of tea?,French
gleam,Uncommon,noun,A flash or beam of light.,,"Old English glǣm 'brightness, splendor.'",A gleam of hope shone in his eyes.,Old English
jolt,Uncommon,verb,Push or shake abruptly and roughly.,,Origin unknown.,The bus jolted to a stop.,Other
knack,Uncommon,noun,An acquired or natural skill at performing a task.,,From Middle English knak 'sharp sound.',She has a knack for painting.,Other
latch,Uncommon,verb,Fasten (a door or gate) with a latch.,,Old English læcce 'fastening.',He latched the gate behind him.,Old English
mellow,Uncommon,adjective,Pleasingly smooth or soft; free from harshness.,,"From Old English melu 'meal, flour.'",The wine had a mellow flavor.,Old English
nifty,Uncommon,adjective,"Particularly good, skillful, or effective.",,Origin unknown.,That's a nifty gadget!,Other
plucky,Uncommon,adjective,Having or showing determined courage.,,From pluck 'courage.',The plucky puppy barked at the bigger dog.,Other
quirk,Uncommon,noun,A peculiar behavioral habit.,,Origin unknown.,He has a quirk of tapping his foot.,Other
rustic,Uncommon,adjective,Relating to the countryside; rural.,,From Latin rusticus 'of the country.',They enjoyed a rustic cabin retreat.,Latin
snug,Uncommon,adjective,"Comfortable, warm, and cozy.",,Origin unknown.,She felt snug under the blanket.,Other
twirl,Uncommon,verb,Spin quickly and lightly around.,,From Old French twirler 'to turn.',She twirled on the dance floor.,French
upbeat,Uncommon,adjective,Cheerful; optimistic.,,From up + beat.,He is always upbeat about the future.,Other
witty,Uncommon,adjective,Showing or characterized by quick and inventive verbal humor.,,From wit + -y.,She made a witty remark.,Other
yonder,Uncommon,adverb,At some distance in the direction indicated.,,"From Old English geond 'over, beyond.'",The mountains yonder are beautiful.,Old English
zest,Uncommon,noun,Great enthusiasm and energy.,,From French zeste 'orange or lemon peel.',She tackled the project with zest.,French
bloom,Uncommon,verb,Produce flowers; be in flower.,,Old Norse blóm 'flower.',The cherry trees bloom in April.,Other
clutch,Uncommon,verb,Grasp or seize (something) tightly or eagerly.,,Old English clyccan 'to clench.',She clutched her bag tightly.,Old English
dazzle,Uncommon,verb,Blind (a person) temporarily.,,From Old French daseler 'to daze.',The bright lights dazzled the audience.,French
flicker,Uncommon,verb,Shine unsteadily; vary rapidly in brightness.,,Old English flicorian 'to flutter.',The candlelight flickered in the breeze.,Old English
glimpse,Uncommon,verb,See or perceive briefly or partially.,,From Middle English glimsen 'to shine faintly.',She glimpsed a deer in the woods.,Other
huddle,Uncommon,verb,Crowd together; nestle closely.,,Origin unknown.,The players huddled before the game.,Other
lofty,Uncommon,adjective,Of imposing height.,,"From Old Norse lopt 'air, sky.'",The cathedral has lofty ceilings.,Other
murmur,Uncommon,verb,"Say something in a low, soft, or indistinct voice.",,From Latin murmurare 'to murmur.',She murmured a reply.,Latin
nudge,Uncommon,verb,Prod (someone) gently with one's elbow.,,Origin unknown.,He nudged me and pointed to the sign.,Other
ogle,Uncommon,verb,Stare at in a lecherous manner.,,From Low German oeglen 'look at.',He ogles the desserts in the bakery window.,Other
prance,Uncommon,verb,Move with high springy steps.,,From Middle English prauncen.,The horse pranced around the field.,Other
swoop,Uncommon,verb,Move rapidly downward through the air.,,From Middle English swopen 'to sweep.',The hawk swooped down on its prey.,Other
tangle,Uncommon,verb,Twist together into a confused mass.,,From Old Norse tǫngull 'seaweed.',The wires were tangled behind the desk.,Other
usher,Uncommon,verb,Show or guide (someone) somewhere.,,From Old French ussier 'doorkeeper.',He ushered us into the theater.,French
wade,Uncommon,verb,Walk with effort through water or another substance.,,"Old English wadan 'to go, advance.'",They waded through the stream.,Old English
yelp,Uncommon,verb,"Utter a short, sharp cry.",,From Old English gielpan 'to boast.',The dog yelped in surprise.,Old English
zany,Uncommon,adjective,Amusingly unconventional and idiosyncratic.,,From Italian zanni 'comic figure.',He wore a zany costume to the party.,Other
lecher,Rare,noun,,,,,
hypochondriac,Rare,,,,,,
martinet,Exotic,,,,,,
mote,Uncommon,,,,,,
speck,Uncommon,,,,,,
myriad,Uncommon,,,,,,
sullen,Uncommon,,,,,,
fluke,Uncommon,,,,,,
torpid,Rare,,,,,,
antecedent,Rare,,,,,,
penultimate,Rare,,,,,,
troubadour,Uncommon,,,,,,
vehement,Rare,,,,,,
conjoint,Rare,,,,,,
satiate,Uncommon,,,,,,
haughty,Uncommon,,,,,,
reminisce,Uncommon,,,,,,
skulk,Uncommon,,,,,,
idiom,Rare,,,,,,
ostensible,Rare,,,,,,
fain,Rare,,,,,,
terminus,Rare,,,,,,
hectic,Uncommon,,,,,,
fathomless,Uncommon,,,,,,
bastion,Rare,,,,,,
unrequited,Rare,,,,,,
punctual,Uncommon,,,,,,
multitude,Rare,,,,,,
perpetual,Uncommon,,,,,,
saunter,Rare,,,,,,
wend,Rare,,,,,,
tenement,Rare,,,,,,
ample,Uncommon,,,,,,
vista,Uncommon,,,,,,
benevolent,Uncommon,,,,,,
altruism,Uncommon,,,,,,
frivolous,Uncommon,,,,,,
pulpit,Rare,,,,,,
paradox,Uncommon,,,,,,
reconnaissance,Uncommon,,,,,,
futile,Uncommon,,,,,,
daguerreotype,Exotic,,,,,,
pervade,Uncommon,,,,,,
froth,Uncommon,,,,,,
rapt,Rare,,,,,,
swash,Exotic,,,,,,
malignant,Rare,,,,,,
adulterous,Uncommon,,,,,,
scallop,Rare,,,,,,
splendor,Uncommon,,,,,,
pensive,Uncommon,,,,,,
plaudit,Rare,,,,,,
carouse,Rare,,,,,,
unalloyed,Rare,,,,,,
ruddy,Rare,,,,,,
falter,Uncommon,,,,,,
tableau,Rare,,,,,,
eunoia,Exotic,,,,,,
soiree,Uncommon,,,,,,
smoulder,Uncommon,,,,,,
nonchalance,Uncommon,,,,,,
yearning,Uncommon,,,,,,
edifice,Rare,,,,,,
reprobate,Exotic,,,,,,
peruse,Rare,,,,,,
copious,Uncommon,,,,,,
creed,Rare,,,,,,
audacity,Uncommon,,,,,,
cosmopolitan,Rare,,,,,,
menial,Rare,,,,,,
excursion,Uncommon,,,,,,
rapture,Uncommon,,,,,,
sojourn,Rare,,,,,,
hirsute,Exotic,,,,,,
falter,Uncommon,,,,,,
ishtmus,Rare,,,,,,
interstitial,Rare,,,,,,
latent,Rare,,,,,,
demure,Exotic,,,,,,
consolation,Uncommon,,,,,,
plummet,Uncommon,,,,,,
chromatic,Rare,,,,,,
balk,Rare,,,,,,
diligent,Uncommon,,,,,,
turbulent,Uncommon,,,,,,
waft,Rare,,,,,,
flaunt,Rare,,,,,,
roving,Uncommon,,,,,,
ardor,Rare,,,,,,
swarthy,Exotic,,,,,,
lore,Uncommon,,,,,,
apparition,Rare,,,,,,
volition,Rare,,,,,,
cusp,Rare,,,,,,
grotto,Rare,,,,,,
resounding,Uncommon,,,,,,
diastole,Exotic,,,,,,
maneouver,Uncommon,,,,,,
systole,Exotic,,,,,,
incontinent,Rare,,,,,,
untrodden,Rare,,,,,,
scant,Rare,,,,,,
scurry,Uncommon,,,,,,
bequeath,Rare,,,,,,
peremptory,Uncommon,,,,,,
infidel,Rare,,,,,,
tantalize,Rare,,,,,,
copulate,Rare,,,,,,
chastity,Rare,,,,,,
luscious,Rare,,,,,,
spontaneous,Uncommon,,,,,,
dissuade,Rare,,,,,,
heft,Rare,,,,,,
acrid,Rare,,,,,,
premontory,Exotic,,,,,,
hankering,Rare,,,,,,
plenum,Exotic,,,,,,
promulgation,Exotic,,,,,,
articulate,Uncommon,,,,,,
pismire,Exotic,,,,,,
exquisite,Uncommon,,,,,,
stucco,Rare,,,,,,
slovenly,Rare,,,,,,
gulch,Rare,,,,,,
undulate,Rare,,,,,,
cataract,Rare,,,,,,
husk,Rare,,,,,,
nucleus,Rare,,,,,,
bivouac,Rare,,,,,,
